canonical_id,display_artist,display_title,play_count,spotify_album_release_year,spotify_album_type,spotify_isrc,mb_lookup_status,mb_isrc_year,mb_ta_status,mb_title_artist_year,manual_year_override
2738,Abraham Alexander,Wicked Game,1,2019,single,GBX721900163,FAILED,,FAILED,,
25,Alexa Ray Joel,Heavy Eyes,1,2025,single,US5ED2507304,FAILED,,FAILED,,
1918,Atlanta Rhythm Section,Imaginary Lover (Re-Record),1,2007,compilation,USA560702503,FAILED,,FAILED,,1978
71,Band Of Gypsys,Them Changes,1,2023,album,UKDNQ1597251,FAILED,,FAILED,,1969
131,Big Head Todd & The Monsters,Tangerine,1,1998,album,USGI19800130,FAILED,,FAILED,,
1677,Blonde Diamond,Feel Alright,1,2016,single,CA5FV1600014,FAILED,,FAILED,,
2072,Bonnie Raitt,Everywhere I Go,1,2014,compilation,USTJG1301902,FAILED,,FAILED,,
2490,Braison Cyrus & Noah Cyrus,As Long As You'll Stay,1,2025,single,CZEE52500009,FAILED,,FAILED,,
2661,Bruce Springsteen,"War (Live At La Coliseum, Los Angeles, Ca - September 1985)",1,1986,album,USSM18500156,FAILED,,FAILED,,
2221,Chicago Transit Auth,I'm A Man,1,2019,album,US78T0753518,FAILED,,FAILED,,
290,Chris Difford,Take Me I'm Yours (Mix 1),1,2002,album,GBBLG1200648,FAILED,,FAILED,,
294,Christopher Cross,Ride Like The Wind (2019 Remaster),1,1979,album,NLRD52420646,FAILED,,FAILED,,
1856,Crosby - Nash,To The Last Whale...critical Mass/wind O,1,1980,compilation,USAT20613384,FAILED,,FAILED,,
2535,"Crosby, Stills, Nash & Young",Our House - 2021 Remaster,1,1970,album,USRH12002907,FAILED,,FAILED,,
1692,Dave Edmunds,I Hear You Knocking,1,1970,album,GBAFQ1900001,FAILED,,FAILED,,
384,Dave Matthews Band,"Sledgehammer (Live At Mile High Music Festival, Commerce City, Co - July 2008)",1,2008,album,USRC10801114,FAILED,,FAILED,,
389,Dave Matthews Band,Time Of The Season,1,2005,album,USRC10503508,FAILED,,FAILED,,
2244,Dave Matthews Band,"Warehouse (Live At Central Park, New York, Ny - September 2003)",1,2003,album,USRC10301654,FAILED,,FAILED,,
409,David Bowie,The Jean Genie [2005 Mix],1,1974,album,USJT11600201,FAILED,,FAILED,,
2636,Elton John,Honky Tonk Women (Uk-Release Mix),1,1971,album,GBAMB9500085,FAILED,,FAILED,,
2537,Eric Burdon & The Animals,Inside - Looking Out,2,1983,album,AUXN22486878,FAILED,,FAILED,,1966
1711,Eric Clapton,Anyday,1,2016,album,USRE11600336,FAILED,,FAILED,,
2199,Eric Clapton,Help Me Up,2,1992,album,USRE10001063,FAILED,,FAILED,,
2813,Fantastic Cat,"Band On The Run (Feat. Don Dilego, Anthony D'amato, Brian Dunne & Mike Montali)",1,2023,single,QZ2ZY2200158,FAILED,,FAILED,,
576,Foy Vance,"Hi, I'm The Preacher's Son",1,2026,single,USRO22505535,FAILED,,FAILED,,
2018,Foy Vance,"Hi, I’m The Preacher's Son",1,2026,single,USRO22505535,FAILED,,FAILED,,
