canonical_id,norm_artist,display_title,spotify_attempt_count,spotify_status,spotify_last_attempted_at,last_play_ts
561,foo fighters,Baker Street,18,FAILED,2026-04-15 18:09:57,2026-03-15T05:53:00
798,lamont landers,Use Me,18,FAILED,2026-04-15 18:10:01,2026-02-10T17:28:00
875,lumineers,The Night They Drove Old Dixie Down,18,FAILED,2026-04-15 18:10:05,2026-03-14T06:02:00
876,lumineers,The Shape I'm In,18,FAILED,2026-04-15 18:10:09,2026-04-03T14:24:00
877,lumineers,The Weight,18,FAILED,2026-04-15 18:10:13,2026-04-10T05:18:00
878,lumineers,Up On Cripple Creek,18,FAILED,2026-04-15 18:10:17,2026-03-17T19:08:00
1237,revivalists,Wildflowers,18,FAILED,2026-04-15 18:10:22,2026-02-20T08:24:00
1749,lumineers,Life Is A Carnival,18,FAILED,2026-04-15 18:10:25,2026-02-26T18:08:00
1862,grace potter w don was and matt burr,I Shall Be Released,18,FAILED,2026-04-15 18:10:29,2026-04-10T17:07:00
1886,benjamin gibbard,Northern Lights,18,FAILED,2026-04-15 18:10:33,2026-03-01T09:41:00
1920,benjamin gibbard,Cath (Acoustic),17,FAILED,2026-04-15 18:10:47,2026-03-02T09:33:00
1956,lamont landers,Nothing From Nothing,17,FAILED,2026-04-15 18:10:51,2026-03-03T11:31:00
2159,lumineers,Stage Fright,14,FAILED,2026-04-15 18:10:56,2026-04-09T07:01:00
2282,stealers wheel,Dust In The Wind,12,FAILED,2026-04-15 18:11:00,2026-04-06T13:05:00
2303,lumineers,Tura Lura Lural,12,FAILED,2026-04-15 18:11:04,2026-03-17T06:22:00
2511,lamont landers,(Sittin' On) The Dock Of The Bay,10,FAILED,2026-04-15 18:11:08,2026-03-25T06:30:00
2541,lumineers,Atlantic City,9,FAILED,2026-04-15 18:11:12,2026-03-26T18:33:00
2555,crosby stills nash and young,Hawaiian Sunrise,9,FAILED,2026-04-15 18:11:16,2026-03-27T18:43:00
2628,allison ponthier,Hollywood Forever Cemetery (Acoustic),7,FAILED,2026-04-15 18:11:20,2026-03-31T16:34:00
2643,johnette napolitano,The Scientist,7,FAILED,2026-04-15 18:11:24,2026-04-01T08:02:00
2658,aish,Passover Funk,6,FAILED,2026-04-15 18:11:38,2026-04-01T18:24:00
2691,matt nathanson,Little Red Corvette (Acoustic),6,FAILED,2026-04-15 18:11:42,2026-04-02T09:29:00
2882,futurebirds,Fly On,2,FAILED,2026-04-16 10:55:30,2026-04-15T13:42:00
2884,lumineers,Mystery Train,2,FAILED,2026-04-16 10:55:34,2026-04-13T18:31:00
2909,thee sacred souls,Anybody's Fool,1,FAILED,2026-04-15 14:05:05,2026-04-15T06:50:00
2914,eob,Shangri-La,1,FAILED,2026-04-15 18:21:30,2026-04-15T12:31:00
