artist_name,spotify_earliest_year,mb_earliest_year,delta,abs_delta,mb_later_than_spotify,mb_artist_id,play_count
Barrett Strong,2008,1959,-49,49,0,31ee774b-6248-48d5-a8b5-0d9bebeaba9d,1
The Bobby Fuller Four,1998,1965,-33,33,0,c83691bd-ed58-4d97-9edb-3043ace33856,1
Steam,2000,1969,-31,31,0,7c1bfa64-9ff6-4b3f-a5aa-610298b76a55,1
Black 47,1965,1991,26,26,1,355ac0da-ab94-48c2-badd-41f3986041cd,2
Tom Hamilton,2026,2001,-25,25,0,606ef8a3-d8aa-4448-8d2d-07ef62f19b58,4
Monotones,2006,1982,-24,24,0,da014b60-38aa-422c-9f65-e3f0bd0e39c2,1
Captain Sensible,1995,1978,-17,17,0,c5b9c6e1-3aa2-4ff5-a89a-d4e86b09fcdf,1
John Butler,2012,1996,-16,16,0,790278a2-0256-447e-891d-991211e90a86,1
Jeff Tweedy,2014,1999,-15,15,0,63287966-6021-474a-ba76-edc37a5f1b7c,3
Mick Jagger,1985,1970,-15,15,0,b5ffc3aa-b868-4b88-905f-d73d51dbe51c,2
Robert Plant,1982,1967,-15,15,0,bd53f9a7-8be9-46b0-bf7d-1deea3cb57bc,6
Eddie Vedder,2007,1993,-14,14,0,1a60d6dd-9d3e-40fc-a66d-3184f9ee0d61,2
J.J. Cale,1972,1958,-14,14,0,4b0be624-6b87-47e8-bbf0-588a2c6c0439,1
Keb' Mo',1994,1980,-14,14,0,280ddd36-ac7d-4446-8689-a548d6f3458e,1
DRAMA,2016,2003,-13,13,0,de23d637-20df-4b15-ae63-263dd5a34f10,1
Foy Vance,2013,2000,-13,13,0,6ef3b33e-848c-4773-867b-5fb1397ef408,4
Michael Stipe,2019,2006,-13,13,0,905a8f9b-03dc-4f47-b9bb-ecce7ea13ab1,1
Sniff 'n' The Tears,1991,1978,-13,13,0,d8bf60ce-d2af-4125-bf19-2b19d6d0c807,1
"Beth Hart, Joe Bonamassa",2011,1999,-12,12,0,3fe817fc-966e-4ece-b00a-76be43e7e73c,1
Tori Amos,1992,1980,-12,12,0,c0b2500e-0cef-4130-869d-732b23ed9df5,1
Warren Haynes,2004,1992,-12,12,0,4b3b9c7e-c32e-4e62-bbdb-d2e8aaffe66e,5
Carole King,1970,1959,-11,11,0,bf6c29f5-b69f-4842-9031-37f9645d365d,4
Kacey Musgraves,2013,2002,-11,11,0,d1393ecb-431b-4fde-a6ea-d769f2f040cb,3
Dr. John,1968,1958,-10,10,0,fe0e1895-aa84-47d9-8e5b-7930fc20709b,3
Molly Tuttle,2017,2007,-10,10,0,968fb129-2c95-4fd5-b195-86552ba45c94,26
The Inmates,1989,1979,-10,10,0,9906ef70-cfa0-4e36-8767-cbe833b66446,3
Dermot Kennedy,2019,2010,-9,9,0,aa9ea04c-6d55-4244-9139-22c75bd19f97,18
Gary Clark Jr.,2011,2002,-9,9,0,c733c4e6-22a2-499d-ace7-17b832356aff,3
Martin Luke Brown,2023,2014,-9,9,0,79aaf5c5-c0d8-4f8a-ab80-f5c93b417a53,1
The Rockets,1968,1977,9,9,1,3f1f265f-4533-4141-98ab-58a9ed791a7b,1
The Spencer Davis Group,1973,1964,-9,9,0,178fdfdf-e02e-4608-9b51-e53471e28a58,5
Alanis Morissette,1995,1987,-8,8,0,4bdcee62-4902-4773-8cd1-e252e2e31225,13
