canonical_id,display_artist,display_title,play_count,spotify_album_release_year,spotify_album_type,spotify_isrc,mb_lookup_status,mb_isrc_year,mb_ta_status,mb_title_artist_year,manual_year_override
2738,Abraham Alexander,Wicked Game,1,2019,single,GBX721900163,FAILED,,FAILED,,
25,Alexa Ray Joel,Heavy Eyes,1,2025,single,US5ED2507304,FAILED,,FAILED,,
131,Big Head Todd & The Monsters,Tangerine,1,1998,album,USGI19800130,FAILED,,FAILED,,
2661,Bruce Springsteen,"War (Live At La Coliseum, Los Angeles, Ca - September 1985)",1,1986,album,USSM18500156,FAILED,,FAILED,,
2221,Chicago Transit Auth,I'm A Man,1,2019,album,US78T0753518,FAILED,,FAILED,,
290,Chris Difford,Take Me I'm Yours (Mix 1),1,2002,album,GBBLG1200648,FAILED,,FAILED,,
1856,Crosby - Nash,To The Last Whale...critical Mass/wind O,1,1980,compilation,USAT20613384,FAILED,,FAILED,,
1692,Dave Edmunds,I Hear You Knocking,1,1970,album,GBAFQ1900001,FAILED,,FAILED,,
384,Dave Matthews Band,"Sledgehammer (Live At Mile High Music Festival, Commerce City, Co - July 2008)",1,2008,album,USRC10801114,FAILED,,FAILED,,
389,Dave Matthews Band,Time Of The Season,1,2005,album,USRC10503508,FAILED,,FAILED,,
409,David Bowie,The Jean Genie [2005 Mix],1,1974,album,USJT11600201,FAILED,,FAILED,,
2636,Elton John,Honky Tonk Women (Uk-Release Mix),1,1971,album,GBAMB9500085,FAILED,,FAILED,,
1711,Eric Clapton,Anyday,1,2016,album,USRE11600336,FAILED,,FAILED,,
2199,Eric Clapton,Help Me Up,2,1992,album,USRE10001063,FAILED,,FAILED,,
2813,Fantastic Cat,"Band On The Run (Feat. Don Dilego, Anthony D'amato, Brian Dunne & Mike Montali)",1,2023,single,QZ2ZY2200158,FAILED,,FAILED,,
581,Friko,Seven Degrees,1,2026,single,USATO2500445,FAILED,,FAILED,,
1718,G. Love,Peace Love & Happiness(Peak Performance),1,2008,album,USUM70813223,FAILED,,FAILED,,
2740,"Gary ""u.s."" Bonds""",This Little Girl,1,1981,album,USCA28100084,FAILED,,FAILED,,
2019,Gary Numan & Tubeway Army,Are 'Friends' Electric? (1998 Remaster),1,2008,album,GBAZP9300219,FAILED,,FAILED,,
2020,Gov't Mule,Presence Of The Lord (Live From Macon 4/13/96),1,1996,album,US5YX1200157,FAILED,,FAILED,,
608,Gov't Mule,Time,1,2002,album,USATO0200010,FAILED,,FAILED,,
2248,Grateful Dead,One More Saturday Night (2019 Remaster),1,1974,compilation,USRH11803116,FAILED,,FAILED,,
616,Grateful Dead,Scarlet Begonias,2,1974,album,USRH11301569,FAILED,,FAILED,,
632,Guster,Fa Fa,1,1999,album,USSI19900033,FAILED,,FAILED,,
2022,Jalen N'gonda,Doctrine Of Love,1,2026,single,US4GZ2608402,FAILED,,FAILED,,
728,Joan Osborne,One Of Us (Dutch Radio 2001),3,2022,album,USME32101433,FAILED,,FAILED,,
2792,Kurt Vile,Chance To Bleed,2,2026,single,USUG12601215,FAILED,,FAILED,,
